Dataset,Fold,F1-macro,AUC,AUPR,Gmean
x22data.npz,Mean,0.6961296292358012,0.9338516361687093,0.434671570741396,0.6787637440973598
x23data.npz,1,0.8960560326037311,0.9761924428558556,0.8275516879191497,0.8873707153222705
x23data.npz,2,0.8950232757920153,0.9713644185484844,0.8406229436388002,0.8784131766841538
x23data.npz,3,0.9194235937355204,0.9841282000966066,0.8856789524777046,0.9208047814154743
x23data.npz,4,0.8856747273837253,0.9822394638328704,0.8231573527744771,0.8580757110269265
x23data.npz,5,0.917107286155376,0.9793144288341169,0.8771549656837734,0.9126319242754505
x23data.npz,Mean,0.9026569831340737,0.9786477908335869,0.8508331804987812,0.891459261744855
x24data.npz,1,0.6982845963036719,0.908316430020284,0.5137786352375129,0.6273030589667539
x24data.npz,2,0.6447552447552447,0.9451656524678836,0.3125010389918674,0.5127185627062966
x24data.npz,3,0.6513751781660773,0.8924949290060853,0.3022485206940586,0.4467598017803475
x24data.npz,4,0.7212121212121212,0.9424361207897795,0.49445443445895365,0.5957895239045624
x24data.npz,5,0.6052426275550007,0.8676684088269455,0.1603924711429047,0.45865657485588995
x24data.npz,Mean,0.664173953598423,0.9112163082221955,0.35667502010505947,0.5282455044427701
x25data.npz,1,0.8226457859194867,0.9013950008801268,0.6729155590436079,0.7819473432381838
x25data.npz,2,0.8616139409167047,0.9708766062312973,0.7848882437801352,0.8187212736038039
x25data.npz,3,0.8488332297899703,0.96800299243091,0.7806200389028667,0.8404332878033923
x25data.npz,4,0.8743809367410262,0.9180182797971259,0.7759073568999757,0.8742424164734524
x25data.npz,5,0.8605492380932582,0.981645357847281,0.7987064315898048,0.8299522845260595
x25data.npz,Mean,0.8536046262920891,0.9479876474373483,0.7626075260432781,0.8290593211289783
x26data.npz,1,0.9290887515659536,0.9881393726553118,0.894362574512884,0.9131300612805915
x26data.npz,2,0.9341403401007522,0.9920904948422169,0.9052015437376137,0.9065767729345126
x26data.npz,3,0.9303916260681135,0.9893385055719347,0.8914101087521117,0.8916327194884115
x26data.npz,4,0.933872711207498,0.9942197868195584,0.9124489953155543,0.9044618171309966
x26data.npz,5,0.9394809688581315,0.9956555521091188,0.9293147834503543,0.9213052864943465
x26data.npz,Mean,0.9333948795600897,0.9918887423996281,0.9065476011537037,0.9074213314657718
x27data.npz,1,0.4978978978978979,0.8212131656039979,0.09438929877798732,0.0
x27data.npz,2,0.4978978978978979,0.8304325348957435,0.038285254628554595,0.0
x27data.npz,3,0.4981971153846154,0.8431845597104946,0.027963083580796487,0.0
x27data.npz,4,0.6231949458483754,0.7316043425814234,0.12593437845430597,0.40800198679712096
x27data.npz,5,0.4981971153846154,0.8705267390430238,0.04243081260645447,0.0
x27data.npz,Mean,0.5230769944826804,0.8193922683669367,0.06580056560961976,0.08160039735942419
